product_id,name,category,price,stock,threshold,demand_score
1,apple,fruits,120,50,8,0.85
2,banana,fruits,60,80,10,0.92
3,orange,fruits,90,45,8,0.75
4,mango,fruits,150,30,6,0.88
5,grapes,fruits,110,35,7,0.72
6,potato,vegetables,40,120,15,0.98
7,tomato,vegetables,50,95,12,0.95
8,onion,vegetables,35,105,12,0.93
9,carrot,vegetables,55,70,10,0.74
10,spinach,vegetables,30,60,10,0.62
11,broccoli,vegetables,70,40,6,0.58
12,milk,dairy,62,85,10,0.99
13,cheese,dairy,130,42,7,0.71
14,butter,dairy,105,48,8,0.66
15,curd,dairy,55,66,9,0.81
16,paneer,dairy,95,58,8,0.84
17,bread,bakery,45,75,10,0.88
18,buns,bakery,40,54,8,0.63
19,biscuits,snacks,30,140,18,0.9
20,chips,snacks,25,150,18,0.89
21,chocolate,snacks,55,90,12,0.78
22,noodles,snacks,35,100,14,0.91
23,oats,grains,80,52,8,0.67
24,rice,grains,68,110,12,0.96
25,flour,grains,52,95,11,0.94
26,sugar,staples,45,88,10,0.83
27,salt,staples,22,130,14,0.57
28,tea,beverages,140,38,6,0.76
29,coffee,beverages,180,32,5,0.64
30,juice,beverages,95,47,7,0.73
